"['portuguese', 'prime', 'minister', 'antonio', 'costa', 'europeanunion', 'eu', 'quickly', 'reach', 'agreement', 'european', 'budget', 'year', 'order', 'harm', 'economy', 'member', 'state', 'avoid', 'institutional', 'crisis', 'lusa', 'news', 'agency', 'report']" negative
"['hell', 'trump', 'crush', 'putin', 'economy', 'sound', 'sean', 'hannity', 'putin', 'hold', 'marker', 'trump', 'loan', 'russian', 'bank', 'trump', 'motivation', 'piss', 'guy', 'hold', 'leash']" negative
"['totally', 'disagree', 'virus', '3', '5', 'transmission', 'mode', 'level', '3', 'high', 'good', 'hit', 'economy', '30', 'day', 'lose', 'loved', 'neighbor', 'god', 'forbid', 'child', 'jhr']" neutral
"['wife', 'symbolize', 'economy', 'pls', 'break', 'pls']" negative
"['economy', 'grow', 'fast', 'clinton', 'obama', 'trump', 'piggyback', 'obama', 'economy', 'trump', 'deficit', 'debt']" positive
"['problem', 'change', 'work', '30', 'year', 'implement', 'business', 'change', 'wilful', 'destruction', 'economy', 'chang', 'plain', 'stupid']" neutral
"['reparation', 'capitalism', 'country', 'make', 'found', 'father', 'contrary', 'popular', 'belief', 'mixed', 'economy', 'free', 'transparent', 'market', 'capitalistic', 'attribute', 'socialistic', 'attribute']" positive
"['understand', 'reason', 'gore', 'lose', 'west', 'va', 'tn', 'ky', 'view', 'environment', 'push', 'thing', 'btu', 'tax', 'early', 'form', 'carbon', 'tax', 'vp', '00', 'coal', 'big', 'part', 'economy', '3', 'reason', 'gore', 'bush', 'nader', 'claim']" neutral
"['fly', 'americanair', 'basic', 'economy', 'pick', 'seat', 'check', 'assign']" negative
"['work', 'gig', 'economy', 'division']" positive
"['gonna', 'dribble', 'piece', 'close', 'november', 'fat', 'fascist', 'toast', 'election', 'economy', 'suck', '2', '1', 'growth', 'tax', 'cut', 'stimulus', 'shit', 'gdp', 'deficit', 'space', 'force', 'mission', 'uranus']" negative
"['tedlieu', 'woke', 'leftist', 'love', 'return', 'obama', 'economy', 'slow', 'growth', 'stagnant', 'wage']" positive
"['dems', 'problem', 'accept', 'economy', 'acknowledge', 'magic', 'wand', 'work', 'accept', 'thumb', 'nose', 'obama', 'economy']" positive
"['smith', 'ave', 'live', 'tweaker', 'cam', 'youtube', 'stupids', 'great', 'america', 'good', 'people', 'feed', 'homeless', 'hot', 'soup', 'freeway', 'everett', 'wa', 'economy', 'boom', 'fat', 'folk', 'saturday', 'fee', 'needy']" positive
"['micro', 'securitizations', 'bridge', 'clean', 'tech', 'fund', 'gap', 'economy']" positive
"['directional', 'lag', '3mo', '6mo', 'figure', 'big', 'deal', 'personally', 'business', 'friend', 'global', 'economy']" negative
"['wait', 'wait', 'technology', 'worldwide', 'drive', 'economy', 'stock', 'market', 'drive', 'wealthy', 'tax', 'break', 'put', 'money', 'buy', 'stock', 'back', 'deficit', 'future', 'trump', 'implodes']" positive
"['global', 'supply', 'demand', 'shock', 'coronavirus', '300', 'global', 'top', '500', 'company', 'presence', 'wuhan', 'breakingnews', 'china', 'economy', 'economics', 'business']" neutral
"['people', 'house', 'vote', 'ubi', 'popular', 'republican', 'stimulate', 'economy', 'remember', 'bush', 'give', '600', 'alaska', 'red', 'state', 'nixon', 'friedmann', 'money', 'bureaucratic', 'govt', 'program', 'people', 'directly']" positive
"['jamie', 'partition', 'island', 'hard', 'border', 'damage', 'economy', 'community', 'fight', 'impossible', 'win', 'warn', 'repeatedly', 'pig', 'headedness', 'greed', 'infect', 'ability', 'foresee', 'outcome']" negative
"['policy', 'make', 'economy', 'work', 'american']" positive
"['trillion', 'dollar', 'deficit', 'slow', 'growth', 'year', 'presidency', 'carter', 'clinton', 'ahead', 'continue', 'economy']" negative
"['booming', 'economy', 'line', 'complete', 'lie', '41', 'people', 'credit', 'card', 'debt', 'usa', 'huge', 'number', 'young', 'people', 'underemployed', 'house', 'build', 'buy', '2019', 'federal', 'reserve', 'back', 'trump', 'print', 'glory', 'democrat']" positive
"['give', 'money', 'government', 'give', 'people', 'grow', 'economy', 'give', '100k', 'year']" negative
"['plan', 'cost', 'senator', 'sander', 'happen', 'family', 'average', 'tax', 'bill', 'impact', 'dismantle', '18', 'economy', 'answer', 'lack', 'thereof', 'scare', 'people', 'scared', 'people', 'win', 'support', 'revolution']" positive
"['italian', 'economy', 'totally', 'germany', 'france', 'eu', 'straitjacket', 'distort', 'ail', 'italian', 'economy']" negative
"['ken', 'clarke', 'canada', 'deal', 'kill', 'uk', 'economy', 'brand', 'global', 'britain', 'rubbish']" negative
"['economy', 'employer', 'relocate', 'investment', 'dry', 'real', 'effect', 'leave', 'win', 'felt', 'dec', '2020', 'transition', 'period', 'end']" positive
"['pay', 'bus', 'driver', 'kindness', 'heart', 'pay', 'bus', 'gas', 'people', 'fathom', 'economy', '101', 'shit', 'doesn', 'magically', 'exist', 'benefit', 'stop', 'exist', 'infant']" positive
"['crack', 'smoke', 'wendy', 'economy', 'bad', 'talk', 'daycare', 'worker', 'economy', 'bad', 'unemployment', 'rate', 'low', '50', 'year', 'cleary', 've', 'hang', 'mama', 'june', 'geno']" negative
"['prosperity', 'good', 'economy', 'sign', 'business', 'individual', 'level', 'benefit']" positive
"['healthy', 'economy', 'planet', 'start', 'educate', 'alternative', 'currency', 'design', 'inspire', 'live', 'system']" positive
"['lot', 'work', 'gig', 'economy', 'long', 'term', 'sad', 'fact', 'vulnerable']" positive
"['rich', 'employ', 'ppl', 'improve', 'economy', 'nice', 'imaginary', 'world', 'live', 'median', 'wage', 'ceo', 'great', 'economy', 'work', '10']" positive
"['economy', 'national', 'debt', 'budget', 'deficit']" negative
"['thing', 'hurt', 'western', 'world', 'economy', 'test', 'western', 'world', 'rely', 'egg', 'basket', 'scenario', 'actual', 'number', 'case', 'death']" negative
"['world', 'trade', 'organization', 'sovereignty', 'china', 'economy', 'china', 'business', 'give', 'subsidy', 'll', 'treat', 'foreign', 'company']" negative
"['deal', 'eu', 'eu', 'make', 'economy', 'sufficient', 'sovereign', 'grovel', 'elect', 'technocrat', 'brussels']" positive
"['calm', 'mehmet', 'worry', 'russian', 'backing', 'economy', 'run', 'cylinder', 'burn', 'dollar', 'left', 'centre', 'worry', 'lowly', 'europe', 'front', 'buyuk', 'turkiye']" neutral
"['wouldn', 'great', 'economy', 'lifetime', 'wouldn', 'low', 'unemployment', 'lifetime', 'wouldn', 'horribly', 'trade', 'agreement', 'sign', 'life', 'wouldn', 'stock', 'market', 'imp', 'stop', 'left']" positive
"['dollar', 'power', 'economy', 'rejection', 'middle', 'east', 'peace', 'plan', 'money', 'accept', 'gov']" positive
"['nose', 'people', 'red', 'state', 'dumb', 'hayseed', 'support', 'realdonaldtrump', 'revitalize', 'economy', 'waste', 'time', 'leftist', 'work', 'build', 'good', 'america']" positive
"['david', 'littleproud', 'mp', 'give', 'drought', 'councils', 'million', 'dollar', 'stimulate', 'economy', 'create', 'job', 'infrastructure', 'project', 'family', 'education', 'cost', '20m', 'support', 'country', 'commitment', 'drought', '8', 'billion', 'council']" positive
"['collapse', 'economy', 'trump', 'low', 'unemployment', 'high', 'labor', 'participation', 'rate', 'history', 'high', 'stock', 'market', 'significant', 'average', 'annual', 'gdp', 'growth', 'compare', 'obama', 'term', 'high', 'low', 'income', 'wage', 'growth', '20', 'year']" positive
"['economy', 'suffer', 'manufacture', 'recession', 'obama', 'clinton', 'master', 'send', 'american', 'manufacturing', 'job', 'country', 'president', 'trump', 'bring', 'back', 'pro', 'growth', 'policy', 'magic', 'wand', 'manufacturing', 'sector']" positive
"['gibraltar', 'increase', 'gdp', 'campo', 'de', 'gibraltar', 'region', 'spanish', 'region', 'border', 'gibraltar', '554', 'million', '09', '2013', 'recover', 'spanish', 'economy', 'deal', 'complete', 'sever', 'veto', 'dispute', 'spain', 'leverage', 'exaggerated']" positive
"['ad', 'hillarious', 'gonna', 'beat', 'realdonaldtrump', 'economy', 'live', 'alternate', 'universe']" negative
"['good', 'publicity', 'stunt', 'brexitjohnson', 'promise', 'big', 'good', 'deal', 'eu', 'fail', 'deliver', 'country', 'significant', 'economy', '10', 'economy', 'stop', 'fail', 'll', 'listen']" positive
"['atucomm', 'monday', 'switch', 'endorsement', 'back', 'berniesanders', 'love', 'union', 'deep', 'respect', 'transit', 'worker', 'critical', 'component', 'economy', 'sen', 'sander', 'candidate', 'beat', 'trump', 'biden', 'win', 'bring', 'number']" positive
"['corona', 'virus', 'impact', 'global', 'economy']" negative
"['um', 'insane', 'threatened', 'record', 'economy', 'record', 'job', 'record', 'hate', 'storm']" negative
"['kill', 'economy', '180', 'day', 'curfew', 'cut', 'money', 'bring', 'kashmir', 'knee', 'step', 'genocide', 'nytimes', 'washingtonpost', 'trtworld', 'huffpost', 'ajenglish', 'unhumanrights', 'france', '24_en', 'bbcworld']" negative
"['leave', 'country', 'state', 'make', '40', 'entire', 'country', 'economy', 'shit', 'hole', 'leave', 'forever']" negative
"['referendum', 'happen', 'felt', 'marginalise', 'patronise', 'exploitated', 'stupid', 'racist', 'economy', 'suffer', 'leave']" negative
"['immigration', 'economy']" negative
"['coronavirus', 'travel', 'barrier', 'business', 'closure', 'harm', 'world', 'economy', 'expert', 'global', 'news', 'publish', 'canada', 'news', 'medium']" negative
"['low', 'middle', 'class', 'men', 'project', 'insecurity', 'surround', 'financial', 'fitness', 'lack', 'thereof', 'woman', 'spade', 'hasn', 'dug', 'low', 'rung', 'untransformed', 'sa', 'economy', 'turn', 'transformation', 'll', 'ugly']" negative
"['absolutely', 'alot', 'attack', 'chinese', 'economy', 'tho', 'real', 'evil', 'world', 'high', 'level', 'isn', 'wrong', 'medication', 'ish', 'lead', 'death', 'worldwide', 'america', 'attention', 'mistaken']" positive
"['reality', 'economy', 'benefit', 'excess', 'eu', 'budget', 'contribution', 'brexit', 'cost', 'uk', 'economy', 'entire', 'combined', 'contribution', 'join', '47', 'ago']" positive
"['country', 'china', 'skorea', 'uae', 'successful', 'create', 'economy', 'closely', 'align', 'russia', 'today', 'lot', 'small', 'country', 'africa', 'asia', 'create', 'economic', 'sufficiency', 'export', 'potential', 'align', 'superpower']" positive
"['york', 'time', 'nytimes', 'modi', 'budget', 'offer', 'solution', 'revive', 'india', 'weak', 'economy', 'industry', '40', 'machinelearning', 'aistrategy']" positive
"['low', 'unemployment', '50', 'year', 'great', 'stock', 'market', 'number', 'business', 'friendly', 'economy', 'incredible', 'number']" positive
"['whopping', '900', 'back', 'canadian', 'economy']" negative
"['case', '2nd', 'large', 'economy', 'world', 'wasn', 'completely', 'shut', 'global', 'economy', 'eggshell']" negative
"['support', 'turner', 'mulroney', 'trudeau', 'entire', 'liberal', 'party', 'mulroneyites', 'trump', 'begin', 'threaten', 'inflict', 'damage', 'canada', 'economy', 'mess', 'nafta', 'begin', 'turner']" neutral
"['independent', 'voter', 'economy', 'improve', 'potential', 'boon', 'trump']" positive
"['budget', '2020', 'hope', 'big', 'infra', 'reform', 'great', 'stimulus', 'package', 'manufacture', 'export', 'totally', 'convinced', 'bjp', '4india', 'incapable', 'handle', 'economy', 'surely', 'vote', 'power', 'achedin', 'totally', 'miss', 'bullshit', 'policymaking']" positive
